wavelength,value
4000.00,0.7630
3999.00,0.7627
3998.00,0.7624
3997.00,0.7622
3996.00,0.7621
3995.00,0.7620
3994.00,0.7619
3993.00,0.7617
3992.00,0.7614
3991.00,0.7611
3990.00,0.7608
3989.00,0.7606
3988.00,0.7605
3987.00,0.7606
3986.00,0.7608
3985.00,0.7610
3984.00,0.7610
3983.00,0.7608
3982.00,0.7604
3981.00,0.7599
3980.00,0.7595
3979.00,0.7593
3978.00,0.7593
3977.00,0.7592
3976.00,0.7589
3975.00,0.7585
3974.00,0.7581
3973.00,0.7578
3972.00,0.7575
3971.00,0.7572
3970.00,0.7569
3969.00,0.7565
3968.00,0.7562
3967.00,0.7559
3966.00,0.7557
3965.00,0.7556
3964.00,0.7554
3963.00,0.7552
3962.00,0.7550
3961.00,0.7548
3960.00,0.7546
3959.00,0.7545
3958.00,0.7543
3957.00,0.7540
3956.00,0.7538
3955.00,0.7536
3954.00,0.7534
3953.00,0.7532
3952.00,0.7530
3951.00,0.7530
3950.00,0.7529
3949.00,0.7526
3948.00,0.7521
3947.00,0.7518
3946.00,0.7516
3945.00,0.7514
3944.00,0.7511
3943.00,0.7509
3942.00,0.7507
3941.00,0.7506
3940.00,0.7505
3939.00,0.7502
3938.00,0.7500
3937.00,0.7500
3936.00,0.7502
3935.00,0.7505
3934.00,0.7506
3933.00,0.7504
3932.00,0.7497
3931.00,0.7488
3930.00,0.7480
3929.00,0.7474
3928.00,0.7472
3927.00,0.7472
3926.00,0.7471
3925.00,0.7468
3924.00,0.7464
3923.00,0.7462
3922.00,0.7460
3921.00,0.7457
3920.00,0.7454
3919.00,0.7451
3918.00,0.7446
3917.00,0.7440
3916.00,0.7436
3915.00,0.7433
3914.00,0.7431
3913.00,0.7428
3912.00,0.7426
3911.00,0.7424
3910.00,0.7423
3909.00,0.7424
3908.00,0.7423
3907.00,0.7422
3906.00,0.7420
3905.00,0.7415
3904.00,0.7407
3903.00,0.7402
3902.00,0.7400
3901.00,0.7398
3900.00,0.7394
3899.00,0.7393
3898.00,0.7392
3897.00,0.7389
3896.00,0.7386
3895.00,0.7385
3894.00,0.7385
3893.00,0.7384
3892.00,0.7382
3891.00,0.7381
3890.00,0.7381
3889.00,0.7379
3888.00,0.7378
3887.00,0.7380
3886.00,0.7385
3885.00,0.7387
3884.00,0.7385
3883.00,0.7377
3882.00,0.7367
3881.00,0.7356
3880.00,0.7349
3879.00,0.7347
3878.00,0.7345
3877.00,0.7343
3876.00,0.7340
3875.00,0.7336
3874.00,0.7331
3873.00,0.7330
3872.00,0.7330
3871.00,0.7326
3870.00,0.7321
3869.00,0.7321
3868.00,0.7325
3867.00,0.7324
3866.00,0.7321
3865.00,0.7316
3864.00,0.7311
3863.00,0.7310
3862.00,0.7310
3861.00,0.7307
3860.00,0.7306
3859.00,0.7305
3858.00,0.7305
3857.00,0.7305
3856.00,0.7306
3855.00,0.7306
3854.00,0.7295
3853.00,0.7286
3852.00,0.7296
3851.00,0.7298
3850.00,0.7292
3849.00,0.7285
3848.00,0.7284
3847.00,0.7288
3846.00,0.7294
3845.00,0.7296
3844.00,0.7294
3843.00,0.7288
3842.00,0.7283
3841.00,0.7276
3840.00,0.7271
3839.00,0.7273
3838.00,0.7283
3837.00,0.7292
3836.00,0.7295
3835.00,0.7290
3834.00,0.7279
3833.00,0.7267
3832.00,0.7259
3831.00,0.7257
3830.00,0.7256
3829.00,0.7253
3828.00,0.7248
3827.00,0.7245
3826.00,0.7244
3825.00,0.7245
3824.00,0.7247
3823.00,0.7250
3822.00,0.7249
3821.00,0.7248
3820.00,0.7254
3819.00,0.7258
3818.00,0.7256
3817.00,0.7251
3816.00,0.7245
3815.00,0.7242
3814.00,0.7235
3813.00,0.7225
3812.00,0.7218
3811.00,0.7216
3810.00,0.7219
3809.00,0.7223
3808.00,0.7227
3807.00,0.7228
3806.00,0.7229
3805.00,0.7226
3804.00,0.7222
3803.00,0.7218
3802.00,0.7212
3801.00,0.7213
3800.00,0.7219
3799.00,0.7218
3798.00,0.7212
3797.00,0.7206
3796.00,0.7203
3795.00,0.7202
3794.00,0.7200
3793.00,0.7198
3792.00,0.7198
3791.00,0.7200
3790.00,0.7201
3789.00,0.7200
3788.00,0.7198
3787.00,0.7197
3786.00,0.7194
3785.00,0.7191
3784.00,0.7189
3783.00,0.7189
3782.00,0.7192
3781.00,0.7197
