wavelength,value
4000.00,0.7112
3999.00,0.7110
3998.00,0.7107
3997.00,0.7104
3996.00,0.7101
3995.00,0.7098
3994.00,0.7096
3993.00,0.7095
3992.00,0.7094
3991.00,0.7092
3990.00,0.7090
3989.00,0.7087
3988.00,0.7085
3987.00,0.7084
3986.00,0.7084
3985.00,0.7084
3984.00,0.7083
3983.00,0.7079
3982.00,0.7075
3981.00,0.7069
3980.00,0.7066
3979.00,0.7064
3978.00,0.7064
3977.00,0.7063
3976.00,0.7061
3975.00,0.7058
3974.00,0.7055
3973.00,0.7052
3972.00,0.7049
3971.00,0.7045
3970.00,0.7043
3969.00,0.7040
3968.00,0.7037
3967.00,0.7034
3966.00,0.7030
3965.00,0.7028
3964.00,0.7025
3963.00,0.7023
3962.00,0.7021
3961.00,0.7019
3960.00,0.7016
3959.00,0.7012
3958.00,0.7010
3957.00,0.7009
3956.00,0.7009
3955.00,0.7009
3954.00,0.7008
3953.00,0.7007
3952.00,0.7005
3951.00,0.7002
3950.00,0.6999
3949.00,0.6997
3948.00,0.6994
3947.00,0.6992
3946.00,0.6989
3945.00,0.6985
3944.00,0.6982
3943.00,0.6981
3942.00,0.6980
3941.00,0.6980
3940.00,0.6978
3939.00,0.6976
3938.00,0.6975
3937.00,0.6973
3936.00,0.6972
3935.00,0.6971
3934.00,0.6969
3933.00,0.6966
3932.00,0.6961
3931.00,0.6956
3930.00,0.6952
3929.00,0.6948
3928.00,0.6943
3927.00,0.6940
3926.00,0.6938
3925.00,0.6937
3924.00,0.6933
3923.00,0.6930
3922.00,0.6926
3921.00,0.6923
3920.00,0.6919
3919.00,0.6913
3918.00,0.6908
3917.00,0.6905
3916.00,0.6903
3915.00,0.6901
3914.00,0.6899
3913.00,0.6897
3912.00,0.6893
3911.00,0.6889
3910.00,0.6884
3909.00,0.6880
3908.00,0.6876
3907.00,0.6873
3906.00,0.6870
3905.00,0.6864
3904.00,0.6854
3903.00,0.6845
3902.00,0.6840
3901.00,0.6840
3900.00,0.6841
3899.00,0.6842
3898.00,0.6840
3897.00,0.6837
3896.00,0.6834
3895.00,0.6832
3894.00,0.6832
3893.00,0.6832
3892.00,0.6831
3891.00,0.6829
3890.00,0.6824
3889.00,0.6819
3888.00,0.6817
3887.00,0.6819
3886.00,0.6823
3885.00,0.6823
3884.00,0.6817
3883.00,0.6808
3882.00,0.6801
3881.00,0.6796
3880.00,0.6791
3879.00,0.6785
3878.00,0.6780
3877.00,0.6776
3876.00,0.6774
3875.00,0.6771
3874.00,0.6767
3873.00,0.6761
3872.00,0.6756
3871.00,0.6754
3870.00,0.6752
3869.00,0.6748
3868.00,0.6744
3867.00,0.6742
3866.00,0.6742
3865.00,0.6740
3864.00,0.6736
3863.00,0.6733
3862.00,0.6730
3861.00,0.6726
3860.00,0.6722
3859.00,0.6717
3858.00,0.6712
3857.00,0.6707
3856.00,0.6702
3855.00,0.6696
3854.00,0.6688
3853.00,0.6683
3852.00,0.6689
3851.00,0.6693
3850.00,0.6693
3849.00,0.6693
3848.00,0.6692
3847.00,0.6693
3846.00,0.6694
3845.00,0.6693
3844.00,0.6689
3843.00,0.6681
3842.00,0.6672
3841.00,0.6664
3840.00,0.6658
3839.00,0.6659
3838.00,0.6665
3837.00,0.6671
3836.00,0.6672
3835.00,0.6667
3834.00,0.6661
3833.00,0.6655
3832.00,0.6651
3831.00,0.6647
3830.00,0.6641
3829.00,0.6638
3828.00,0.6636
3827.00,0.6637
3826.00,0.6636
3825.00,0.6631
3824.00,0.6625
3823.00,0.6621
3822.00,0.6620
3821.00,0.6621
3820.00,0.6622
3819.00,0.6620
3818.00,0.6619
3817.00,0.6621
3816.00,0.6621
3815.00,0.6616
3814.00,0.6609
3813.00,0.6603
3812.00,0.6599
3811.00,0.6595
3810.00,0.6592
3809.00,0.6590
3808.00,0.6590
3807.00,0.6589
3806.00,0.6583
3805.00,0.6577
3804.00,0.6573
3803.00,0.6572
3802.00,0.6573
3801.00,0.6572
3800.00,0.6567
3799.00,0.6561
3798.00,0.6559
3797.00,0.6559
3796.00,0.6558
3795.00,0.6555
3794.00,0.6552
3793.00,0.6549
3792.00,0.6548
3791.00,0.6546
3790.00,0.6544
3789.00,0.6541
3788.00,0.6536
3787.00,0.6532
3786.00,0.6529
3785.00,0.6525
3784.00,0.6521
3783.00,0.6518
3782.00,0.6518
3781.00,0.6521
3780.00,0.6526
3779.00,0.6527
3778.00,0.6522
3777.00,0.6514
3776.00,0.6507
3775.00,0.6502
3774.00,0.6498
3773.00,0.6494
3772.00,0.6493
3771.00,0.6493
3770.00,0.6492
3769.00,0.6488
3768.00,0.6484
3767.00,0.6481
3766.00,0.6479
3765.00,0.6476
3764.00,0.6472
3763.00,0.6468
3762.00,0.6466
3761.00,0.6465
3760.00,0.6463
3759.00,0.6460
3758.00,0.6457
3757.00,0.6453
3756.00,0.6450
3755.00,0.6446
3754.00,0.6442
3753.00,0.6436
3752.00,0.6425
3751.00,0.6413
3750.00,0.6411
3749.00,0.6414
3748.00,0.6417
3747.00,0.6419
3746.00,0.6423
3745.00,0.6428
3744.00,0.6431
3743.00,0.6431
3742.00,0.6430
3741.00,0.6430
3740.00,0.6430
3739.00,0.6431
3738.00,0.6432
3737.00,0.6432
3736.00,0.6428
3735.00,0.6422
3734.00,0.6418
3733.00,0.6414
3732.00,0.6409
3731.00,0.6403
3730.00,0.6396
3729.00,0.6390
3728.00,0.6386
3727.00,0.6384
3726.00,0.6381
3725.00,0.6379
3724.00,0.6379
3723.00,0.6380
3722.00,0.6382
3721.00,0.6384
3720.00,0.6384
3719.00,0.6385
3718.00,0.6386
3717.00,0.6385
3716.00,0.6382
3715.00,0.6380
3714.00,0.6379
3713.00,0.6377
3712.00,0.6374
3711.00,0.6374
3710.00,0.6375
3709.00,0.6376
3708.00,0.6374
3707.00,0.6372
3706.00,0.6369
3705.00,0.6367
3704.00,0.6367
3703.00,0.6367
3702.00,0.6368
3701.00,0.6367
3700.00,0.6365
3699.00,0.6365
3698.00,0.6366
3697.00,0.6369
3696.00,0.6370
3695.00,0.6369
3694.00,0.6368
3693.00,0.6369
3692.00,0.6372
3691.00,0.6379
3690.00,0.6390
3689.00,0.6399
3688.00,0.6399
3687.00,0.6391
3686.00,0.6382
3685.00,0.6375
3684.00,0.6372
3683.00,0.6371
3682.00,0.6371
3681.00,0.6372
3680.00,0.6374
3679.00,0.6374
3678.00,0.6373
3677.00,0.6372
3676.00,0.6371
3675.00,0.6374
3674.00,0.6375
3673.00,0.6373
3672.00,0.6372
3671.00,0.6370
3670.00,0.6368
3669.00,0.6367
3668.00,0.6367
3667.00,0.6367
3666.00,0.6367
3665.00,0.6367
3664.00,0.6368
3663.00,0.6371
3662.00,0.6376
3661.00,0.6382
3660.00,0.6387
3659.00,0.6389
3658.00,0.6391
3657.00,0.6390
3656.00,0.6388
3655.00,0.6385
3654.00,0.6383
3653.00,0.6386
3652.00,0.6393
3651.00,0.6401
